poi_name,latitude,longitude,category,priority,origin_trips,dest_trips,total_trips,demand_weight
The Commons,41.83604,-87.625535,Dining,1,641,900,1541,1.0
Paul Galvin Library,41.833675,-87.628336,Library,1,607,730,1337,0.8676184295911745
McCormick Tribune Campus Center,41.835621,-87.625887,Student Center,1,666,646,1312,0.8513951979234263
Perlstein Hall,41.835479,-87.627146,Academic,1,663,620,1283,0.8325762491888384
S.R. Crown Hall,41.833199,-87.627273,Academic,1,680,582,1262,0.8189487345879299
Kaplan Institute,41.836861,-87.6283,Academic,1,636,604,1240,0.8046722907203114
Pritzker Science Center,41.83793,-87.62738,Academic,1,648,584,1232,0.799480856586632
Main Building,41.834303,-87.629281,Academic,1,654,574,1228,0.7968851395197923
McCormick Student Village,41.835527,-87.624207,Residence,1,593,610,1203,0.7806619078520441
Arthur S. Keating Sports Center,41.838985,-87.625566,Recreation,2,510,484,994,0.6450356911096691
Rowe Village Middle,41.833712,-87.626167,Residence,2,473,498,971,0.6301103179753407
Cunningham Hall,41.83774,-87.623975,Residence,2,462,500,962,0.6242699545749514
Chemistry Research Building,41.831886,-87.628445,Academic,2,496,439,935,0.6067488643737833
Farr Hall,41.834344,-87.623795,Residence,2,459,472,931,0.6041531473069436
Grover M. Herman Hall,41.835681,-87.628387,Admin,3,356,325,681,0.4419208306294614
Alpha Sigma Phi,41.833032,-87.624633,Greek Housing,4,174,150,324,0.21025308241401688
